label,critical_radius_um,peak_intersections,auc
37,10.0,7.0,190.0
39,5.0,3.0,40.0
42,10.0,15.0,200.0
43,5.0,3.0,35.0
45,10.0,8.0,125.0
53,5.0,3.0,25.0
57,15.0,6.0,90.0
80,15.0,5.0,70.0
81,10.0,6.0,100.0
87,25.0,14.0,195.0
97,5.0,5.0,90.0
100,5.0,1.0,10.0
103,5.0,4.0,55.0
104,10.0,7.0,140.0
105,5.0,3.0,15.0
110,5.0,4.0,45.0
138,15.0,4.0,55.0
142,5.0,4.0,20.0
150,5.0,3.0,30.0
151,20.0,10.0,170.0
180,20.0,18.0,390.0
184,10.0,7.0,70.0
187,5.0,4.0,50.0
188,5.0,5.0,30.0
200,10.0,11.0,140.0
210,10.0,7.0,115.0
213,10.0,12.0,100.0
233,5.0,2.0,15.0
234,15.0,7.0,115.0
241,5.0,5.0,95.0
249,15.0,15.0,210.0
258,5.0,3.0,45.0
276,10.0,4.0,40.0
292,10.0,3.0,30.0
